road,modal_class,segments,mean_lanes,mean_speed_kmh,oneway_share,transit_share,commercial_share,junction_share,unpaved_share,lanes_imputed_share,speed_imputed_share,mean_segment_score,category,confidence
Ponte Casa Verde Jornalista Walter Abrahão,primary,1,2.0,50,1.0,1.0,1.0,0.0,0.0,0.0,0.0,47.5,High,high
Praça Doutor João Mendes,primary,9,3.3,44,1.0,0.89,0.89,0.67,0.0,0.0,0.0,47.4,High,high
Rua Tabor,primary,11,3.0,50,1.0,0.91,0.45,0.64,0.0,0.0,0.82,47.4,High,medium
Avenida Joaquina Ramalho,secondary,11,3.0,50,1.0,1.0,1.0,0.64,0.0,0.0,0.0,47.4,High,high
Avenida São Gabriel,primary,16,2.5,50,1.0,0.75,0.38,0.81,0.0,0.0,0.38,47.3,High,medium
Rua Taquari,primary,15,2.8,49,1.0,0.87,0.6,0.67,0.0,0.0,0.73,47.3,High,medium
Praça da República,secondary,15,3.4,46,1.0,1.0,1.0,0.27,0.0,0.0,0.6,46.9,High,medium
Ponte Governador Orestes Quércia,trunk,6,2.5,50,1.0,0.0,0.83,0.0,0.0,0.0,0.0,46.7,High,high
Avenida Pacaembu,primary,40,2.6,47,0.97,0.85,1.0,0.62,0.0,0.12,0.17,46.6,High,low
Avenida Angélica,secondary,28,3.1,50,0.21,1.0,1.0,0.79,0.0,0.0,0.04,46.6,High,medium
Ponte Júlio de Mesquita Neto,secondary,2,4.0,50,1.0,0.5,1.0,0.0,0.0,0.0,0.0,46.5,High,high
Viaduto Mercúrio,primary,4,3.0,50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.5,High,high
Avenida Nazaré,secondary,13,2.8,50,1.0,0.92,1.0,0.69,0.0,0.0,0.0,46.5,High,high
Avenida Rangel Pestana,primary,44,3.0,44,0.86,0.84,0.73,0.39,0.0,0.0,0.14,46.4,High,medium
Rua Silva Bueno,secondary,6,2.8,50,1.0,0.83,1.0,0.83,0.0,0.0,0.5,46.3,High,medium
Avenida São Luís,secondary,13,2.8,50,1.0,0.85,1.0,0.77,0.0,0.0,0.54,46.0,High,medium
Avenida Doutor Francisco Mesquita,trunk,12,2.6,50,1.0,0.0,0.83,0.0,0.0,0.0,0.17,46.0,High,medium
Praça Oswaldo Gogliano Vadico,primary_link,1,3.0,40,1.0,1.0,1.0,1.0,0.0,0.0,1.0,46.0,High,medium
Avenida Celso Garcia,secondary,45,4.3,40,0.0,1.0,0.56,0.27,0.0,0.0,0.0,45.9,High,high
Avenida Tiradentes,secondary,27,3.4,49,0.96,0.67,0.63,0.59,0.0,0.0,0.26,45.8,High,medium
Largo São Francisco,secondary,5,3.2,48,1.0,1.0,1.0,0.0,0.0,0.0,0.8,45.8,High,medium
Viaduto Diário Popular,primary_link,3,3.0,50,1.0,1.0,0.67,0.67,0.0,0.0,0.0,45.8,High,high
Avenida Morvan Dias de Figueiredo (Central),trunk,3,1.7,70,1.0,0.0,0.33,0.0,0.0,0.0,0.0,45.8,High,high
Avenida Prestes Maia,trunk,34,2.9,48,1.0,0.76,0.0,0.18,0.0,0.0,0.18,45.6,High,medium
Rua da Figueira,primary,31,2.9,48,1.0,0.74,0.55,0.19,0.0,0.03,0.19,45.6,High,medium
Acesso Avenida do Estado,trunk,2,2.0,50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,45.5,High,high
Elevado Presidente João Goulart,trunk,18,2.0,50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,45.5,High,high
Rua dos Machados,secondary,6,3.0,50,1.0,1.0,1.0,0.0,0.0,0.0,0.0,45.5,High,high
Complexo Viário Tribunal de Justiça do Estado de São Paulo,trunk,3,2.0,50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,45.5,High,high
Túnel Max Feffer,trunk,3,2.0,70,1.0,0.0,0.0,0.0,0.0,0.0,1.0,45.5,High,medium
Rua Maria Paula,secondary,5,3.0,50,1.0,0.6,1.0,0.8,0.0,0.0,0.0,45.5,High,high
Avenida Dom Pedro I - Pista Lateral,primary,1,2.0,50,1.0,1.0,0.0,1.0,0.0,0.0,0.0,45.5,High,high
Rua Venceslau Brás,primary,4,2.8,40,1.0,0.75,0.5,0.5,0.0,0.0,0.0,45.5,High,high
Avenida Ipiranga,secondary,21,3.0,46,1.0,0.9,0.62,0.67,0.0,0.0,0.19,45.3,High,medium
Rua do Gasômetro,primary,12,2.8,48,1.0,0.83,0.58,0.42,0.0,0.08,0.33,45.3,High,low
Viaduto Capitão Pacheco e Chaves,secondary,6,2.8,50,1.0,1.0,1.0,0.17,0.0,0.0,0.0,45.3,High,high
Rua Bom Pastor,secondary,14,2.6,50,1.0,0.86,1.0,0.79,0.0,0.0,1.0,45.3,High,medium
Rua Henrique Schaumann,primary,35,3.7,47,0.97,0.49,0.71,0.57,0.0,0.0,0.26,45.2,High,medium
Praça Alberto Lion,primary,12,2.9,47,1.0,0.75,1.0,0.58,0.0,0.17,0.33,45.2,High,low
Rua Teodoro Sampaio,secondary,24,2.9,49,1.0,1.0,0.96,0.21,0.0,0.0,0.04,45.1,High,medium
Praça 14 Bis,secondary,5,4.4,50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,45.1,High,high
Viaduto Nove de Julho,secondary,8,3.0,50,1.0,0.62,1.0,0.62,0.0,0.0,0.62,45.1,High,medium
Viaduto Alcântara Machado,primary,9,2.6,48,1.0,0.78,0.44,0.0,0.0,0.0,0.22,45.1,High,medium
Avenida Pedroso da Silveira,secondary,7,2.1,50,1.0,1.0,1.0,1.0,0.0,0.0,0.0,45.1,High,high
Avenida Guilherme Cotching,secondary,31,2.9,49,1.0,0.94,0.74,0.65,0.0,0.0,0.06,45.0,High,medium
Rua José Monteiro,primary,2,2.5,40,1.0,1.0,0.0,1.0,0.0,0.0,0.0,45.0,High,high
Avenida Prefeito Passos,secondary,9,2.8,49,0.78,1.0,0.67,0.56,0.0,0.0,0.89,45.0,High,medium
Rua Doutor Bettencourt Rodrigues,primary,1,2.0,40,1.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,High,high
Rua Augusta,secondary,28,3.1,49,0.0,1.0,0.82,0.75,0.0,0.0,0.0,44.9,High,high
Rua João Teodoro,secondary,23,2.7,50,1.0,0.74,0.87,0.91,0.0,0.0,0.0,44.7,High,high
Rua Cardeal Arcoverde,secondary,13,2.9,43,1.0,0.92,1.0,0.54,0.0,0.0,0.0,44.6,High,high
Praça Armando de Sales Oliveira,primary_link,4,2.5,50,1.0,1.0,0.75,0.75,0.0,0.0,0.0,44.5,High,high
Complexo Viário Ayrton Senna,trunk,5,2.0,50,1.0,0.0,0.8,0.0,0.0,0.0,0.0,44.5,High,high
Rua Oriente,secondary,5,2.0,50,1.0,1.0,1.0,1.0,0.0,0.0,0.0,44.5,High,high
Viaduto Jacareí,secondary,6,3.0,50,1.0,0.5,1.0,0.67,0.0,0.0,1.0,44.5,High,medium
Rua Clímaco Barbosa,secondary,2,2.0,50,1.0,1.0,1.0,1.0,0.0,0.0,0.0,44.5,High,high
Rua João Passalaqua,secondary,9,2.4,50,1.0,1.0,1.0,0.33,0.0,0.0,0.44,44.3,High,medium
Rua Asdrubal do Nascimento,trunk_link,6,2.0,50,1.0,1.0,0.67,0.17,0.0,0.0,0.0,44.3,High,high
Rua Ribeiro de Lima,secondary,18,2.7,49,1.0,0.89,0.94,0.83,0.0,0.0,0.11,44.3,High,medium
Rua Ibitirama,secondary,13,2.5,50,0.85,1.0,0.77,0.69,0.0,0.0,1.0,44.3,High,medium
Rua Colômbia,secondary,10,4.0,49,0.0,1.0,0.0,0.6,0.0,0.0,0.5,44.0,High,medium
Viaduto Gasômetro,primary,2,3.0,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,High,high
Rua José Chimenti,secondary,3,3.0,40,1.0,1.0,1.0,0.33,0.0,0.0,0.0,44.0,High,high
Rua Santa Rita,secondary,5,2.0,50,1.0,1.0,1.0,0.8,0.0,0.0,0.2,43.9,High,medium
Rua Heitor Penteado,primary,12,2.5,48,1.0,0.83,0.67,0.0,0.0,0.08,0.17,43.8,High,low
Avenida Bom Jardim,secondary,12,2.5,42,1.0,1.0,1.0,0.75,0.0,0.0,0.0,43.7,High,high
Rua São Caetano,secondary,7,2.6,49,1.0,1.0,0.71,0.57,0.0,0.0,0.0,43.7,High,high
Rua Otto de Alencar,secondary,5,3.0,40,1.0,0.6,1.0,1.0,0.0,0.0,0.0,43.6,High,high
Rua Capitão Salomão,secondary,1,3.0,50,1.0,1.0,0.0,1.0,0.0,0.0,1.0,43.5,High,medium
Rua Izidoro Matheus,secondary,1,3.0,50,1.0,1.0,0.0,1.0,0.0,0.0,0.0,43.5,High,high
Rua Belém,secondary,3,2.3,43,0.67,1.0,1.0,1.0,0.0,0.0,0.33,43.5,High,medium
Avenida Vautier,secondary,5,2.2,50,0.0,1.0,1.0,1.0,0.0,0.0,0.0,43.3,High,high
Avenida Cidade Jardim,trunk,18,2.3,49,0.78,0.72,0.22,0.56,0.0,0.0,0.06,43.3,High,medium
Rua da Independência,secondary,8,2.5,48,1.0,0.75,1.0,0.62,0.0,0.0,0.38,43.2,High,medium
Rua Amaral Gurgel,secondary,12,2.4,48,1.0,0.67,1.0,0.5,0.0,0.0,0.0,43.0,High,high
Viaduto Boa Vista,secondary,1,3.0,40,1.0,1.0,1.0,0.0,0.0,0.0,0.0,43.0,High,high
Rua Tácito de Almeida,secondary,2,2.0,50,1.0,1.0,1.0,0.5,0.0,0.0,1.0,43.0,High,medium
Rua Jequitinhonha,secondary,2,3.0,40,1.0,1.0,1.0,0.0,0.0,0.0,0.0,43.0,High,high
Avenida Antônio Joaquim de Moura Andrade,primary,12,2.2,50,1.0,0.0,0.92,0.17,0.0,0.0,0.0,42.9,High,high
Avenida Rudge,primary,20,2.9,48,1.0,0.75,0.55,0.5,0.0,0.0,0.2,42.9,High,medium
Avenida Antártica,primary,21,2.6,44,1.0,0.9,1.0,0.33,0.0,0.05,0.38,42.8,High,low
Praça Dom Orione,secondary,3,2.3,50,1.0,1.0,1.0,0.0,0.0,0.0,0.67,42.8,High,medium
Avenida Otto Baumgart,secondary,12,2.6,50,1.0,0.83,1.0,0.0,0.0,0.0,1.0,42.8,High,medium
Rua Orfanato,secondary,2,2.5,45,0.5,1.0,1.0,0.5,0.0,0.0,0.5,42.8,High,medium
Praça Nina Rodrigues,secondary,3,3.0,50,0.67,1.0,0.0,1.0,0.0,0.0,1.0,42.8,High,medium
Rua Major Natanael,primary,5,2.6,40,1.0,0.0,1.0,0.4,0.0,0.0,0.0,42.6,High,high
Rua Dom Pedro II,tertiary,5,3.2,50,0.8,1.0,0.8,0.0,0.0,0.0,0.0,42.5,High,high
Rua Vidal de Negreiros,secondary,2,3.0,50,1.0,0.0,1.0,1.0,0.0,0.0,1.0,42.5,High,medium
Rua Padre Vieira,secondary,1,2.0,50,0.0,1.0,1.0,1.0,0.0,0.0,1.0,42.5,High,medium
Ponte da Vila Guilherme,secondary,11,2.5,50,1.0,1.0,0.73,0.09,0.0,0.0,0.0,42.2,High,high
Avenida Bandeirantes do Sul,secondary,3,3.0,50,1.0,1.0,0.33,0.0,0.0,0.0,0.0,42.2,High,high
Parque Anhangabau,trunk,15,2.3,48,0.93,0.6,1.0,0.0,0.0,0.2,0.47,42.1,High,low
Avenida Pompeia,secondary,12,3.1,50,1.0,0.33,0.5,0.92,0.0,0.0,0.0,42.1,High,high
Rua Barão de Ladário,secondary,5,1.8,50,1.0,1.0,0.8,0.8,0.0,0.0,0.0,42.1,High,high
Avenida Assis Chateaubriand (Central),trunk_link,5,2.4,54,1.0,0.0,1.0,0.0,0.0,0.0,0.0,42.1,High,high
Rua Coronel Xavier de Toledo,secondary,4,3.5,45,1.0,1.0,0.0,0.25,0.0,0.0,0.5,42.0,High,medium
Rua Juruá,secondary,1,2.0,40,1.0,1.0,1.0,1.0,0.0,0.0,0.0,42.0,High,high
Avenida Carlos de Campos,secondary,19,2.7,47,0.95,0.74,0.74,0.74,0.0,0.05,0.05,41.9,High,low
Rua Sarapuí,secondary,8,2.9,50,1.0,0.88,0.0,0.88,0.0,0.0,1.0,41.9,High,medium
Rua Martins Fontes,secondary,13,2.5,45,0.31,0.92,1.0,0.54,0.0,0.0,0.46,41.8,High,medium
Viaduto Guadalajara,secondary,10,1.9,50,1.0,1.0,1.0,0.2,0.0,0.0,1.0,41.7,High,medium
Rua Manifesto,secondary,19,2.1,49,0.95,0.89,1.0,0.63,0.0,0.05,0.95,41.7,High,low
Rua Teixeira Leite,secondary,7,2.7,49,0.86,0.86,0.57,0.71,0.0,0.0,1.0,41.7,High,medium
Rua Pedroso,secondary,15,3.1,41,1.0,0.47,1.0,0.53,0.0,0.0,0.0,41.7,High,high
Praça Monumento,primary,20,2.8,47,1.0,0.8,0.15,0.7,0.0,0.1,0.6,41.5,High,low
Viaduto do Paraíso,secondary,1,4.0,50,0.0,0.0,1.0,0.0,0.0,0.0,1.0,41.5,High,medium
Praça Clóvis Beviláqua,secondary,1,2.0,50,1.0,1.0,1.0,0.0,0.0,0.0,0.0,41.5,High,high
Viaduto Dom Luciano Mendes de Almeida,secondary,1,2.0,50,1.0,1.0,1.0,0.0,0.0,0.0,1.0,41.5,High,medium
