road,modal_class,segments,mean_lanes,mean_speed_kmh,oneway_share,transit_share,commercial_share,junction_share,unpaved_share,lanes_imputed_share,speed_imputed_share,mean_segment_score,category,confidence
Lady Jamshedji Road,primary,17,2.0,50,1.0,1.0,1.0,0.88,0.0,1.0,1.0,50.1,High,low
Swami Vivekanand Road,primary,36,2.0,50,1.0,1.0,1.0,0.81,0.0,1.0,1.0,49.9,High,low
Katrak Road,primary,4,2.0,50,1.0,1.0,1.0,0.75,0.0,1.0,1.0,49.8,High,low
Magan Nathuram Road,primary,2,2.0,50,0.5,1.0,1.0,1.0,0.0,1.0,1.0,49.5,High,low
Lal Bahadur Shastri Marg,primary,66,2.0,51,0.95,1.0,1.0,0.61,0.0,1.0,0.98,49.5,High,low
Ghatkopar-Andheri Link Road Extention,primary,13,2.0,50,1.0,1.0,0.92,0.77,0.0,0.0,1.0,49.4,High,medium
Padmabushan Vasantdada Patil Marg,primary,8,2.0,50,1.0,1.0,1.0,0.62,0.0,1.0,1.0,49.4,High,low
Road No 16,primary,7,2.0,50,1.0,1.0,1.0,0.57,0.0,1.0,1.0,49.2,High,low
BKC Flyover,motorway,2,2.0,40,1.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,High,high
Sion Bandra Link Road,primary,34,1.8,51,1.0,0.97,1.0,0.56,0.0,0.85,1.0,48.7,High,low
Tilak Bridge,primary,6,2.0,50,1.0,1.0,1.0,0.33,0.0,1.0,1.0,48.5,High,low
Vasantdada Patil Marg,primary,22,2.0,50,1.0,1.0,1.0,0.32,0.0,0.0,1.0,48.5,High,medium
Raobahadur S.K. Bole Marg,primary,18,2.0,50,0.56,0.94,1.0,0.67,0.0,1.0,1.0,48.3,High,low
Carter Road,secondary,8,4.0,50,1.0,1.0,0.38,0.62,0.0,0.0,1.0,48.2,High,medium
Ghatkopar Flyover,trunk,4,2.5,70,1.0,0.0,0.0,0.25,0.0,0.0,1.0,48.2,High,medium
Chembur Flyover,secondary,8,2.5,55,1.0,1.0,1.0,0.0,0.0,0.0,1.0,48.2,High,medium
Nana Phadnavis Flyover,primary,6,2.0,50,1.0,1.0,1.0,0.17,0.0,1.0,1.0,48.0,High,low
Gokhale Road,primary,19,2.0,50,1.0,0.95,1.0,0.58,0.0,0.84,1.0,48.0,High,low
Mahim Causeway,primary,4,2.0,50,1.0,1.0,1.0,0.0,0.0,1.0,1.0,47.5,High,low
Dharavi Depot Road,primary,4,2.0,50,1.0,0.75,1.0,0.5,0.0,1.0,1.0,47.5,High,low
Sewri-Chembur Road,primary,8,2.0,50,1.0,1.0,1.0,0.0,0.0,0.0,1.0,47.5,High,medium
Bhagwan Swaminarayan Flyover,primary,5,2.0,50,1.0,1.0,1.0,0.0,0.0,0.0,1.0,47.5,High,medium
BKC - Sealink Road,motorway,5,2.0,40,1.0,0.0,1.0,0.0,0.0,0.0,0.0,47.4,High,high
Amar Mahal Junction Flyover,trunk,6,2.0,70,1.0,0.0,0.33,0.0,0.0,0.0,0.0,47.2,High,high
Sion Flyover,trunk,4,2.5,48,1.0,0.0,1.0,0.0,0.0,0.5,0.25,46.9,High,medium
Shankar Ghanekar Marg,primary,3,2.0,50,1.0,0.33,1.0,1.0,0.0,1.0,1.0,46.5,High,low
Kabutarkhana,primary,5,2.0,50,1.0,0.8,1.0,0.0,0.0,1.0,1.0,46.3,High,low
Sant Rohidas Marg,primary,4,2.0,50,1.0,0.5,1.0,0.5,0.0,1.0,1.0,46.0,High,low
Rafi Ahmed Kidwai Marg,primary,4,2.0,50,1.0,0.25,1.0,1.0,0.0,1.0,1.0,46.0,High,low
V.N. Purav Marg,trunk_link,1,2.0,50,1.0,1.0,1.0,0.0,0.0,0.0,1.0,45.5,High,medium
Kamraj Nagar Flyover,trunk,6,2.0,70,1.0,0.0,0.0,0.0,0.0,0.0,1.0,45.5,High,medium
SCLR Flyover,trunk,2,2.0,50,1.0,0.0,1.0,0.0,0.0,0.5,0.0,45.5,High,medium
Dayaldas Road,primary,2,2.0,50,1.0,1.0,0.5,0.0,0.0,1.0,1.0,45.0,High,low
Service road,primary,2,2.0,50,1.0,1.0,0.5,0.0,0.0,1.0,1.0,45.0,High,low
Santa Cruz Flyover,primary,5,2.0,50,1.0,1.0,0.4,0.0,0.0,1.0,1.0,44.5,High,low
N C Kelkar Marg,primary,15,1.9,47,1.0,0.87,1.0,0.67,0.0,1.0,1.0,44.5,High,low
Kale Marg,secondary,2,2.0,50,1.0,1.0,1.0,1.0,0.0,1.0,1.0,44.5,High,low
Master Vinayak Road (Perry Road),secondary,1,2.0,50,1.0,1.0,1.0,1.0,0.0,0.0,1.0,44.5,High,medium
BKC - SCLR Connector,primary,1,2.0,50,1.0,0.0,1.0,1.0,0.0,0.0,1.0,44.5,High,medium
Sion Circle Flyover,trunk,4,2.5,48,1.0,0.0,0.5,0.0,0.0,0.5,0.25,44.4,High,medium
Khan Abdul Gaffar Khan Marg,primary,9,1.6,50,0.56,0.89,1.0,0.0,0.0,0.0,1.0,44.2,High,medium
Juhu Tara Road,secondary,9,2.0,50,1.0,1.0,1.0,0.89,0.0,1.0,1.0,44.2,High,low
Linking Road,secondary,23,2.0,50,1.0,1.0,0.91,1.0,0.0,1.0,1.0,44.1,High,low
PV Avasare Marg,primary,3,2.0,47,1.0,1.0,1.0,0.67,0.0,1.0,1.0,44.0,High,low
Danda Boulevard (1st Road),secondary,5,2.0,50,1.0,1.0,1.0,0.8,0.0,1.0,1.0,43.9,High,low
Senapati Bapat Marg,secondary,11,2.0,50,0.82,1.0,1.0,0.45,0.0,1.0,1.0,43.6,High,low
Road No 17,secondary,2,2.0,50,0.5,1.0,1.0,1.0,0.0,1.0,1.0,43.5,High,low
Chitrakar Dhurandar Road,secondary,5,2.0,50,0.8,1.0,1.0,0.8,0.0,0.0,1.0,43.5,High,medium
Kavi Keshavsut Flyover,primary,5,2.0,50,0.8,0.4,1.0,0.0,0.0,1.0,1.0,43.5,High,low
60 Feet Road,secondary,9,2.0,50,1.0,0.89,1.0,0.89,0.0,0.0,1.0,43.5,High,medium
St Sebastian Road,secondary,2,2.0,50,0.5,1.0,1.0,1.0,0.0,1.0,1.0,43.5,High,low
Bandra Station Road,secondary,5,2.0,50,1.0,0.8,1.0,1.0,0.0,1.0,1.0,43.3,High,low
Sitaladevi Temple Road,secondary,3,2.0,50,0.33,1.0,1.0,1.0,0.0,1.0,1.0,43.2,High,low
Flyover,trunk_link,8,1.8,59,1.0,0.0,1.0,0.0,0.0,0.38,0.88,43.2,High,low
Sitaladevi Temple Road (West),secondary,2,2.0,50,1.0,1.0,1.0,0.5,0.0,1.0,1.0,43.0,High,low
Swatantrya Veer Savarkar Marg,secondary,33,2.2,49,0.91,0.82,0.88,0.67,0.0,0.24,1.0,43.0,High,low
Prabhadevi New Road,primary,4,1.2,50,1.0,0.5,1.0,0.5,0.0,0.0,1.0,43.0,High,medium
S G Barve Marg (C S T Road),secondary,8,2.0,50,1.0,0.88,1.0,0.75,0.0,1.0,1.0,43.0,High,low
Freeway Exit,motorway_link,3,1.0,60,1.0,0.0,1.0,0.33,0.0,1.0,1.0,43.0,High,low
V B Phadke Marg,primary,4,2.0,48,0.75,0.75,1.0,0.5,0.0,1.0,1.0,42.9,High,low
P V Avsare Marg,primary,5,2.0,46,0.8,1.0,1.0,0.8,0.0,1.0,1.0,42.9,High,low
Mount Carmel Road,secondary,3,2.0,50,1.0,1.0,1.0,0.33,0.0,1.0,1.0,42.5,High,low
Tilak Road Extension,secondary,4,2.0,50,0.75,0.75,1.0,0.5,0.0,1.0,1.0,42.5,High,low
Bhawani Shankar Marg,secondary,7,2.0,50,0.57,1.0,1.0,0.0,0.0,1.0,1.0,42.4,High,low
Mahim Sion Link Road,secondary,16,2.0,50,1.0,0.94,1.0,0.38,0.0,1.0,1.0,42.2,High,low
Waman Tukaram Patil Marg,secondary,4,2.0,50,1.0,0.75,1.0,0.75,0.0,0.0,1.0,42.2,High,medium
Perry Road,secondary,9,1.9,49,0.89,0.89,1.0,0.89,0.0,0.11,1.0,42.2,High,low
SG Barve Marg,secondary,19,2.0,50,1.0,1.0,0.74,0.58,0.0,1.0,1.0,41.9,High,low
P.L. Lokhande Marg,secondary,14,2.0,50,0.79,0.93,0.93,0.5,0.0,1.0,1.0,41.8,High,low
Saint Sebastian Road,secondary,1,2.0,50,1.0,1.0,1.0,0.0,0.0,1.0,1.0,41.5,High,low
Avenue 3: Lane 2,secondary,1,2.0,50,1.0,1.0,1.0,0.0,0.0,0.0,1.0,41.5,High,medium
Mathuradas Vasanji Road (Andheri Kurla Road),primary,6,2.0,47,0.5,0.67,1.0,0.83,0.0,1.0,1.0,41.5,High,low
D Saraswati Marg (Central Avenue),secondary,5,2.0,50,1.0,1.0,1.0,0.0,0.0,0.2,1.0,41.5,High,low
Dr Babasaheb Ambedkar Udyan Circle,secondary,6,2.0,50,1.0,1.0,1.0,0.0,0.0,0.0,1.0,41.5,High,medium
Ramakrishna Chemburkar Marg (Ghatkopar Mahul Road),secondary,6,2.0,50,1.0,1.0,0.5,0.83,0.0,1.0,1.0,41.5,High,low
Danda Boulevard,secondary,1,2.0,50,1.0,1.0,1.0,0.0,0.0,0.0,1.0,41.5,High,medium
KC Marg,secondary,2,2.0,50,1.0,0.5,1.0,1.0,0.0,0.5,1.0,41.5,High,low
D S Baretto Road,secondary,7,2.0,49,1.0,0.71,1.0,1.0,0.0,1.0,1.0,41.3,High,low
Sant Shitolebaba Maharaj Marg,primary,5,2.0,50,1.0,0.6,0.0,0.4,0.0,1.0,1.0,41.3,High,low
N S Mankikar Marg,secondary,6,2.0,50,0.33,1.0,1.0,0.33,0.0,1.0,1.0,41.2,High,low
M Ambedkar Marg,secondary,17,2.0,50,0.82,1.0,0.71,0.47,0.0,1.0,1.0,41.1,High,low
Dayanand Saraswati Marg (Central Avenue Road),secondary,6,2.0,50,0.83,0.83,0.67,0.83,0.0,0.0,1.0,41.0,High,medium
Sealink Road,motorway_link,1,2.0,40,1.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,High,high
Ramakrishna Chemburkar Marg,secondary,11,2.0,50,1.0,1.0,0.36,0.82,0.0,0.0,1.0,40.8,High,medium
Hemu Kalani Marg,secondary,4,2.0,50,1.0,1.0,0.25,1.0,0.0,1.0,1.0,40.8,High,low
Takandas H. Kataria Marg,secondary,17,2.0,50,0.65,0.88,1.0,0.24,0.0,1.0,1.0,40.8,High,low
Street 3,secondary,8,2.0,50,1.0,0.75,1.0,0.25,0.0,0.0,1.0,40.8,High,medium
Sulochana Shetty Marg,secondary,14,2.0,50,1.0,0.71,1.0,0.29,0.0,1.0,1.0,40.6,High,low
Barkat Ali Dargah Road,secondary,2,2.0,50,0.5,1.0,1.0,0.0,0.0,1.0,1.0,40.5,High,low
Chunabhatti Road,secondary,3,2.0,50,0.0,1.0,1.0,0.33,0.0,1.0,1.0,40.5,High,low
SCLR - LBS Marg Connector,primary,1,1.0,50,1.0,0.0,1.0,1.0,0.0,0.0,1.0,40.5,High,medium
Chapel Road,secondary,4,2.8,48,0.5,0.75,1.0,0.25,0.0,0.0,1.0,40.1,High,medium
G.D. Ambedkar Marg,secondary,2,2.0,50,1.0,0.5,1.0,0.5,0.0,1.0,1.0,40.0,High,low
Gurunanak Marg (Turner Road),secondary,3,1.3,50,1.0,1.0,1.0,0.33,0.0,0.33,1.0,39.8,High,low
Sheikh Misari Road,secondary,7,2.0,49,0.57,0.71,0.86,1.0,0.0,1.0,1.0,39.7,High,low
Gurunanak Marg,secondary,18,1.0,50,1.0,1.0,1.0,0.67,0.0,0.0,1.0,39.5,High,medium
Santa Cruz – Chembur Link Road Flyover Ramp,trunk_link,1,2.0,50,1.0,0.0,1.0,0.0,0.0,0.0,1.0,39.5,High,medium
L K Mehta Marg,secondary,6,1.8,48,1.0,0.67,1.0,0.33,0.0,1.0,1.0,39.4,High,low
S.G. Barve Marg,secondary,3,2.0,50,0.67,1.0,0.67,0.0,0.0,1.0,1.0,39.2,High,low
Vidya Nagari Marg,secondary,5,2.0,50,0.8,0.8,0.6,0.4,0.0,1.0,1.0,39.1,High,low
Mori Road,secondary,3,2.0,47,0.0,1.0,1.0,1.0,0.0,1.0,1.0,39.0,High,low
Hill Road,secondary,11,1.9,35,0.91,0.91,1.0,0.64,0.0,1.0,0.36,39.0,High,low
BKC Connector,secondary,8,2.0,35,1.0,1.0,1.0,0.0,0.0,0.0,0.0,39.0,High,high
Choitram Gidwani Marg (Kolwada Borla Road),secondary,12,2.0,50,0.83,1.0,0.25,0.5,0.0,1.0,1.0,38.9,High,low
Road Number 29,secondary,3,2.0,50,0.67,0.33,1.0,0.67,0.0,1.0,1.0,38.8,High,low
Waman Tukaram Patil Marg (Ghatkopar Sewri Wadala Road),trunk_link,2,1.5,50,1.0,0.5,1.0,0.0,0.0,1.0,1.0,38.5,High,low
Nathalal Parekh Road,tertiary,9,2.0,43,1.0,0.89,1.0,0.89,0.0,1.0,1.0,38.5,High,low
Avenue 3: Lane 3,secondary,4,2.0,50,1.0,0.0,1.0,1.0,0.0,0.0,1.0,38.5,High,medium
Jawaharlal Nehru Road,secondary,15,2.0,49,0.67,1.0,0.47,0.47,0.0,1.0,1.0,38.2,High,low
K C Marg,secondary,13,2.0,47,1.0,0.62,1.0,0.62,0.0,1.0,1.0,37.8,Moderate,low
Mehboob Kahn Chowk,secondary,5,1.8,48,0.8,0.8,0.6,0.6,0.0,1.0,1.0,37.8,Moderate,low
Aloysius Soares Marg,secondary,5,2.0,50,1.0,0.8,0.0,0.8,0.0,1.0,1.0,37.7,Moderate,low
B S Devashi Marg,secondary,8,1.9,48,0.5,0.88,1.0,0.25,0.0,1.0,1.0,37.6,Moderate,low
D P Road,tertiary,14,1.6,46,0.86,0.86,1.0,0.64,0.0,0.86,1.0,37.5,Moderate,low
Moreshwar Chintaman Jawle Marg,primary,2,1.5,45,0.0,0.5,1.0,0.0,0.0,1.0,1.0,37.2,Moderate,low
Road No 10,secondary,2,2.0,50,0.0,0.5,0.5,1.0,0.0,1.0,1.0,37.0,Moderate,low
N G Acharya Marg,secondary,10,2.0,47,0.2,1.0,1.0,0.1,0.0,1.0,1.0,37.0,Moderate,low
RCF Road,secondary,5,2.0,46,0.2,1.0,1.0,0.4,0.0,1.0,1.0,36.9,Moderate,low
Jangaleswar Mahadeo Mandir Road,secondary,3,2.0,50,0.0,1.0,0.0,0.67,0.0,1.0,1.0,36.5,Moderate,low
Mother Dairy Road,secondary,7,2.0,50,1.0,0.0,1.0,0.29,0.0,1.0,1.0,36.4,Moderate,low
Tilak Road,primary,19,1.8,44,0.68,0.68,0.95,0.16,0.0,0.95,1.0,36.2,Moderate,low
SL Raheja Hospital Marg,secondary,5,2.0,46,1.0,0.4,1.0,0.8,0.0,1.0,1.0,36.1,Moderate,low
Mankhurd - EEH Link Road,trunk_link,5,2.0,44,1.0,0.0,0.6,0.0,0.0,0.0,0.4,36.0,Moderate,medium
Manuel Gonsalves Road,secondary,4,2.0,35,0.5,0.25,1.0,0.5,0.0,0.25,0.25,35.6,Moderate,low
Ghatkopar Mahul Road,tertiary,15,2.0,43,1.0,1.0,0.87,0.67,0.0,1.0,1.0,35.1,Moderate,low
Shankara Colony Road,secondary,5,2.0,50,0.8,0.0,1.0,0.0,0.0,1.0,1.0,35.1,Moderate,low
R.A. Kidwai Marg,tertiary,12,2.0,42,0.92,1.0,1.0,0.33,0.0,1.0,1.0,34.6,Moderate,low
Vasantarao Naik Marg,tertiary,7,2.0,41,0.57,1.0,1.0,0.86,0.0,1.0,1.0,34.2,Moderate,low
Jawahar Road,tertiary,1,2.0,40,1.0,1.0,1.0,1.0,0.0,1.0,1.0,34.0,Moderate,low
A K Marg (Station Road),tertiary,1,2.0,40,1.0,1.0,1.0,1.0,0.0,1.0,1.0,34.0,Moderate,low
Prof V.S. Agashe Marg,secondary,1,2.0,50,0.0,0.0,1.0,0.0,0.0,1.0,1.0,33.5,Moderate,low
Avenue 3,tertiary,13,2.0,45,1.0,0.46,1.0,0.31,0.0,0.15,1.0,33.5,Moderate,low
Swami Vallabhdas Road,tertiary,2,2.0,45,1.0,0.0,1.0,1.0,0.0,0.5,1.0,33.2,Moderate,low
Street 7,secondary,6,2.0,47,1.0,0.0,1.0,0.33,0.0,0.0,1.0,33.0,Moderate,medium
Telephone Exchange Road,tertiary,2,2.0,40,0.5,1.0,1.0,1.0,0.0,1.0,1.0,33.0,Moderate,low
General Arun Kumar Vaidya Marg,secondary,10,1.7,44,0.8,0.6,1.0,0.5,0.0,1.0,1.0,32.8,Moderate,low
Kakasaheb Gadgil Marg,secondary,3,1.7,43,0.0,0.67,1.0,1.0,0.0,1.0,1.0,32.7,Moderate,low
Flank Road,tertiary,6,2.0,40,0.67,0.83,1.0,1.0,0.0,1.0,1.0,32.3,Moderate,low
Kalina Kurla Road,tertiary,6,2.0,40,0.5,1.0,1.0,0.67,0.0,1.0,1.0,32.0,Moderate,low
Pant Nagar Colony Road,tertiary,1,2.0,40,0.0,1.0,1.0,1.0,0.0,1.0,1.0,32.0,Moderate,low
RK Patkar Marg,tertiary,2,2.0,40,0.0,1.0,1.0,1.0,0.0,0.5,1.0,32.0,Moderate,low
SA Smira Road,tertiary,1,2.0,40,0.0,1.0,1.0,1.0,0.0,1.0,1.0,32.0,Moderate,low
Sasmira Road,tertiary,1,2.0,40,0.0,1.0,1.0,1.0,0.0,1.0,1.0,32.0,Moderate,low
Kirol Road,tertiary,3,2.0,40,1.0,1.0,1.0,0.33,0.0,1.0,1.0,32.0,Moderate,low
Ramrao Nayak Marg,tertiary,6,2.0,40,0.83,0.83,0.83,1.0,0.0,1.0,1.0,31.8,Moderate,low
Raoji Ganatra Road,tertiary,4,2.0,40,0.5,1.0,0.75,1.0,0.0,1.0,1.0,31.8,Moderate,low
D K Sandu Marg,secondary,5,2.0,46,0.0,0.4,1.0,0.0,0.0,1.0,1.0,31.7,Moderate,low
RK Patkar Marg (Waterfield Road),tertiary,4,2.0,40,0.25,0.75,1.0,1.0,0.0,0.25,1.0,31.0,Moderate,low
HK Bhaba Road,tertiary,1,2.0,40,1.0,1.0,1.0,0.0,0.0,1.0,1.0,31.0,Moderate,low
Municipal Road,tertiary,6,2.0,40,1.0,1.0,1.0,0.0,0.0,1.0,1.0,31.0,Moderate,low
Shell Colony Road,tertiary,3,2.0,40,0.0,1.0,1.0,0.67,0.0,0.67,1.0,31.0,Moderate,low
90 Feet Road,tertiary,18,1.9,42,0.89,0.61,0.94,0.5,0.0,1.0,1.0,31.0,Moderate,low
Derasar Lane,tertiary,1,2.0,40,1.0,1.0,1.0,0.0,0.0,1.0,1.0,31.0,Moderate,low
MT Sangam Road,tertiary,2,2.0,40,1.0,0.5,1.0,1.0,0.0,1.0,1.0,31.0,Moderate,low
Hirachand Desai Road,tertiary,6,2.0,40,0.5,1.0,1.0,0.33,0.0,1.0,1.0,31.0,Moderate,low
Dr. BR Ambedkar Road,tertiary,3,2.0,40,0.0,1.0,1.0,0.67,0.0,0.0,1.0,31.0,Moderate,medium
Air Port Road,tertiary,1,2.0,40,1.0,1.0,1.0,0.0,0.0,1.0,1.0,31.0,Moderate,low
S D Mandir Marg,tertiary,8,2.0,40,0.38,0.75,1.0,0.88,0.0,1.0,1.0,30.9,Moderate,low
Bhikaji Damaji Patil Marg,tertiary,2,2.0,40,0.0,1.0,1.0,0.5,0.0,1.0,1.0,30.5,Moderate,low
PG Kher Marg,tertiary,6,2.0,40,0.67,0.5,1.0,1.0,0.0,1.0,1.0,30.3,Moderate,low
LM Nadkarni Road,tertiary,3,2.0,40,0.67,1.0,1.0,0.0,0.0,1.0,1.0,30.3,Moderate,low
Kanu Desai Road,tertiary,4,1.8,38,0.75,1.0,1.0,1.0,0.0,1.0,1.0,30.2,Moderate,low
Golibar Road,tertiary,2,2.0,40,0.5,1.0,1.0,0.0,0.0,0.0,1.0,30.0,Moderate,medium
Hingwala Lane,tertiary,2,2.0,40,0.5,0.5,1.0,1.0,0.0,1.0,1.0,30.0,Moderate,low
Barrister Nath Pai Road,tertiary,2,2.0,40,1.0,0.5,1.0,0.5,0.0,1.0,1.0,29.5,Moderate,low
Prateeksha Nagar Road,tertiary,1,2.0,40,0.0,1.0,1.0,0.0,0.0,1.0,1.0,29.0,Moderate,low
Vallabh Baug lane,tertiary,1,2.0,40,0.0,1.0,1.0,0.0,0.0,1.0,1.0,29.0,Moderate,low
VB Worlikar Marg,tertiary,1,2.0,40,0.0,1.0,1.0,0.0,0.0,1.0,1.0,29.0,Moderate,low
Kohinoor - Vidyavihar Road,tertiary,1,2.0,40,0.0,1.0,1.0,0.0,0.0,0.0,1.0,29.0,Moderate,medium
BKC - CST Link Road,tertiary,2,3.0,40,1.0,0.0,1.0,0.0,0.0,0.0,1.0,29.0,Moderate,medium
Groove Street,tertiary,3,2.0,40,0.0,1.0,1.0,0.0,0.0,0.0,1.0,29.0,Moderate,medium
Veer Nariman Marg,tertiary,1,2.0,40,0.0,1.0,1.0,0.0,0.0,0.0,1.0,29.0,Moderate,medium
Madhusudan Kalekar Marg,tertiary,6,2.0,40,0.33,0.67,1.0,0.33,0.0,0.17,1.0,28.7,Moderate,low
PD Hinduja Road (Khar Pali Road),tertiary,6,2.0,40,0.83,0.33,1.0,0.67,0.0,1.0,1.0,28.7,Moderate,low
Ambedkar Chowk,tertiary,5,2.0,40,1.0,0.6,1.0,0.0,0.0,1.0,1.0,28.6,Moderate,low
Anant Kanekar Marg,tertiary,14,2.1,40,0.93,0.64,0.71,0.36,0.0,0.71,1.0,28.6,Moderate,low
Lokmanya Tilak Terminus Road,tertiary,12,2.0,38,1.0,0.08,1.0,0.25,0.0,0.42,0.75,28.5,Moderate,low
Ratilal Mehta Marg,tertiary,11,2.0,40,0.55,0.45,0.91,0.55,0.0,1.0,1.0,28.0,Moderate,low
Swami Gyan Jiwandas Marg,tertiary,3,2.0,40,0.33,0.67,0.67,0.67,0.0,1.0,1.0,28.0,Moderate,low
Ranade Road Extension,tertiary,1,2.0,40,1.0,0.0,1.0,1.0,0.0,1.0,1.0,28.0,Moderate,low
Bharat Nagar Road,tertiary,2,2.0,40,1.0,0.0,1.0,1.0,0.0,0.0,1.0,28.0,Moderate,medium
Sant Narsee Mehta Marg,tertiary,3,2.0,40,0.33,1.0,0.67,0.0,0.0,1.0,1.0,28.0,Moderate,low
St. Paul Road,tertiary,1,2.0,40,1.0,0.0,1.0,1.0,0.0,1.0,1.0,28.0,Moderate,low
Khau Galli,tertiary,4,2.0,40,1.0,0.25,1.0,0.5,0.0,0.5,1.0,28.0,Moderate,low
R B Kadam Road,tertiary,3,2.0,40,0.33,1.0,0.67,0.0,0.0,1.0,1.0,28.0,Moderate,low
Avenue 3: Lane 1,tertiary,2,2.0,40,1.0,0.5,1.0,0.0,0.0,0.0,1.0,28.0,Moderate,medium
Sharada Devi Road,tertiary,10,1.9,38,0.5,0.7,1.0,0.6,0.0,0.8,1.0,27.8,Moderate,low
Chitrakar Durandhar Road (2nd Road),tertiary,11,2.0,42,0.36,0.64,0.45,0.36,0.0,1.0,1.0,27.8,Moderate,low
Naupada Road,tertiary,6,1.8,38,0.5,0.83,1.0,0.33,0.0,0.17,1.0,27.8,Moderate,low
JL Shirshekar Marg,tertiary,4,2.0,40,0.0,0.25,1.0,1.0,0.0,1.0,1.0,27.5,Moderate,low
Father Peter Periera Road,tertiary,6,2.0,40,0.0,0.5,1.0,0.5,0.0,1.0,1.0,27.5,Moderate,low
